image_file,correct_answer,thisN,thisTrialN,thisRepN,us_state_response.text,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,wider_states_trials.thisRepN,wider_states_trials.thisTrialN,wider_states_trials.thisN,wider_states_trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,instructions_states_task.started,task_instructions.started,instruction_resp.started,instructions_states_task.stopped,instruction_resp.keys,instruction_resp.rt,instruction_resp.duration,States_Naming_Task.started,stimuli_prompt.started,state_pics.started,us_state_response.started,States_Naming_Task.stopped,wider_states_trials.us_state_response.text,stimuli_prompt.stopped,state_pics.stopped,us_state_response.stopped,instructions_countries.started,text.started,key_resp.started,text.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,0.0032495999985258095,0.013857499998266576,0.013857499998266576,0.9261560999984795,space,0.8983699999989767,None,,,,,,,,,,,,,,402458,001,2025-04-11_19h58.44.287,state_naming_task,2024.2.4,59.995056408122906,2025-04-11 19h58.49.681047 -0600,
states/Virginia-Outline-Map.jpg,Virginia,0,0,0,good,,,,,0,0,0,8,,,,,0.9902175999995961,,,,,,,,,0.9699639999998908,1.4446271000015258,1.4446271000015258,1.4446271000015258,8.437974000000395,good,,,,,,,,402458,001,2025-04-11_19h58.44.287,state_naming_task,2024.2.4,59.995056408122906,2025-04-11 19h58.49.681047 -0600,
states/Mississippi-Outline-Map.jpg,Mississippi,1,1,0,too wide,,,,,0,1,1,2,,,,,8.510714600000938,,,,,,,,,8.483328999998776,8.952216599998792,8.952216599998792,8.952216599998792,15.948300000000017,too wide,,,,,,,,402458,001,2025-04-11_19h58.44.287,state_naming_task,2024.2.4,59.995056408122906,2025-04-11 19h58.49.681047 -0600,
states/Kentucky-Outline-Map.jpg,Kentucky,2,2,0,good,,,,,0,2,2,1,,,,,16.001916500001244,,,,,,,,,15.980670500000997,16.435167799998453,16.435167799998453,16.435167799998453,23.426850100000593,good,,,,,,,,402458,001,2025-04-11_19h58.44.287,state_naming_task,2024.2.4,59.995056408122906,2025-04-11 19h58.49.681047 -0600,
states/Maryland-Outline-Map.jpg,Maryland,3,3,0,good,,,,,0,3,3,9,,,,,23.494237999999314,,,,,,,,,23.469274700000824,23.943287999998574,23.943287999998574,23.943287999998574,30.931801499998983,good,,,,,,,,402458,001,2025-04-11_19h58.44.287,state_naming_task,2024.2.4,59.995056408122906,2025-04-11 19h58.49.681047 -0600,
states/Tennessee-Outline-Map.jpg,Tennessee,4,4,0,good,,,,,0,4,4,10,,,,,31.00139489999856,,,,,,,,,30.98172709999926,31.449410900000657,31.449410900000657,31.449410900000657,38.43833029999951,good,,,,,,,,402458,001,2025-04-11_19h58.44.287,state_naming_task,2024.2.4,59.995056408122906,2025-04-11 19h58.49.681047 -0600,
states/Alaska-Outline-Map.jpg,Alaska,5,5,0,good,,,,,0,5,5,0,,,,,38.49813450000147,,,,,,,,,38.47705099999803,38.941949100000784,38.941949100000784,38.941949100000784,45.93216989999928,good,,,,,,,,402458,001,2025-04-11_19h58.44.287,state_naming_task,2024.2.4,59.995056408122906,2025-04-11 19h58.49.681047 -0600,
states/Nebraska-Outline-Map.jpg,Nebraska,6,6,0,good,,,,,0,6,6,3,,,,,45.98569769999813,,,,,,,,,45.96611860000121,46.44976609999867,46.44976609999867,46.44976609999867,53.43209080000088,good,,,,,,,,402458,001,2025-04-11_19h58.44.287,state_naming_task,2024.2.4,59.995056408122906,2025-04-11 19h58.49.681047 -0600,
states/Oklahoma-Outline-Map.jpg,Oklahoma,7,7,0,good,,,,,0,7,7,6,,,,,53.49773429999914,,,,,,,,,53.46068599999853,53.93529950000084,53.93529950000084,53.93529950000084,60.934902500001044,good,,,,,,,,402458,001,2025-04-11_19h58.44.287,state_naming_task,2024.2.4,59.995056408122906,2025-04-11 19h58.49.681047 -0600,
states/Ohio-Outline-Map.jpg,Ohio,8,8,0,a little too wiud,,,,,0,8,8,5,,,,,61.05058030000146,,,,,,,,,60.99613049999971,61.44250340000144,61.44250340000144,61.44250340000144,68.43042829999831,a little too wiud,,,,,,,,402458,001,2025-04-11_19h58.44.287,state_naming_task,2024.2.4,59.995056408122906,2025-04-11 19h58.49.681047 -0600,
states/South-Dakota-Outline-Map.jpg,South Dakota,9,9,0,a little too wide,,,,,0,9,9,7,,,,,68.49868699999934,,,,,,,,,68.47403190000114,68.93405379999967,68.93405379999967,68.93405379999967,75.928194600001,a little too wide,,,,,,,,402458,001,2025-04-11_19h58.44.287,state_naming_task,2024.2.4,59.995056408122906,2025-04-11 19h58.49.681047 -0600,
states/North-Carolina-Outline-Map.jpg,North Carolina,10,10,0,okay,,,,,0,10,10,4,,,,,75.97562610000023,,,,,,,,,75.95870490000016,76.43749359999856,76.43749359999856,76.43749359999856,83.42437340000106,okay,83.44489869999961,83.44489869999961,83.44489869999961,,,,,402458,001,2025-04-11_19h58.44.287,state_naming_task,2024.2.4,59.995056408122906,2025-04-11 19h58.49.681047 -0600,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.4246639999983,83.44489869999961,83.44489869999961,84.45767290000003,,,,,,,,
