image_file,correct_answer,thisN,thisTrialN,thisRepN,us_state_response.text,us_state_response_2.text,us_state_response_3.text,okay_states_trials.thisRepN,okay_states_trials.thisTrialN,okay_states_trials.thisN,okay_states_trials.thisIndex,wider_states_trials.thisRepN,wider_states_trials.thisTrialN,wider_states_trials.thisN,wider_states_trials.thisIndex,taller_states_trials.thisRepN,taller_states_trials.thisTrialN,taller_states_trials.thisN,taller_states_trials.thisIndex,thisRow.t,notes,instructions_states_task.started,task_instructions.started,instruction_resp.started,instructions_states_task.stopped,instruction_resp.keys,instruction_resp.rt,instruction_resp.duration,States_Naming_Task.started,stimuli_prompt.started,okay_state_pics.started,us_state_response.started,States_Naming_Task.stopped,okay_states_trials.us_state_response.text,stimuli_prompt.stopped,okay_state_pics.stopped,us_state_response.stopped,States_Naming_Task_2.started,stimuli_prompt_2.started,wider_state_pics.started,us_state_response_2.started,stimuli_prompt_2.stopped,wider_state_pics.stopped,us_state_response_2.stopped,States_Naming_Task_2.stopped,wider_states_trials.us_state_response_2.text,States_Naming_Task_3.started,stimuli_prompt_3.started,taller_state_pics.started,us_state_response_3.started,stimuli_prompt_3.stopped,taller_state_pics.stopped,us_state_response_3.stopped,States_Naming_Task_3.stopped,taller_states_trials.us_state_response_3.text,instructions_countries_task.started,task_instructions_2.started,instructions_resp_2.started,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,0.03839870006777346,0.055795000051148236,0.055795000051148236,22.31778080004733,space,22.16701480001211,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,760819,001,2025-04-18_10h38.09.571,state_naming_task,2024.2.4,60.513749640865065,2025-04-18 10h38.24.394315 -0600,
states/North-Dakota-Outline-Map.jpg,North Dakota,0,0,0, ,,,0,0,0,22,,,,,,,,,22.53550080000423,,,,,,,,,22.449535900028422,22.83948500000406,22.83948500000406,22.83948500000406,29.82925830001477, ,,,,,,,,,,,,,,,,,,,,,,,,,760819,001,2025-04-18_10h38.09.571,state_naming_task,2024.2.4,60.513749640865065,2025-04-18 10h38.24.394315 -0600,
states/Kansas-Outline-Map.jpg,Kansas,1,1,0,,,,0,1,1,11,,,,,,,,,30.03476629999932,,,,,,,,,29.939987699966878,30.321907800040208,30.321907800040208,30.321907800040208,37.31494810001459,,37.54945230006706,37.54945230006706,37.54945230006706,,,,,,,,,,,,,,,,,,,,,,760819,001,2025-04-18_10h38.09.571,state_naming_task,2024.2.4,60.513749640865065,2025-04-18 10h38.24.394315 -0600,
states/Maine-Outline-Map.jpg,Maine,2,2,0,,,,0,2,2,13,,,,,,,,,37.54945230006706,,,,,,,,,37.44076779996976,37.82025180000346,37.82025180000346,37.82025180000346,44.80512370006181,,45.12722370005213,45.12722370005213,45.12722370005213,,,,,,,,,,,,,,,,,,,,,,760819,001,2025-04-18_10h38.09.571,state_naming_task,2024.2.4,60.513749640865065,2025-04-18 10h38.24.394315 -0600,
states/Texas-Outline-Map.jpg,Texas,3,3,0,,,,0,3,3,28,,,,,,,,,45.12722370005213,,,,,,,,,44.96165870002005,45.32100810005795,45.32100810005795,45.32100810005795,52.305783099960536,,52.53832569997758,52.53832569997758,52.53832569997758,,,,,,,,,,,,,,,,,,,,,,760819,001,2025-04-18_10h38.09.571,state_naming_task,2024.2.4,60.513749640865065,2025-04-18 10h38.24.394315 -0600,
states/Utah-Outline-Map.jpg,Utah,4,4,0,,,,0,4,4,29,,,,,,,,,52.53832569997758,,,,,,,,,52.44394799997099,52.82459029997699,52.82459029997699,52.82459029997699,59.808505499968305,,60.12370980007108,60.12370980007108,60.12370980007108,,,,,,,,,,,,,,,,,,,,,,760819,001,2025-04-18_10h38.09.571,state_naming_task,2024.2.4,60.513749640865065,2025-04-18 10h38.24.394315 -0600,
states/California-Outline-Map.jpg,California,5,5,0,,,,0,5,5,2,,,,,,,,,60.12370980007108,,,,,,,,,60.03025670000352,60.32688249996863,60.32688249996863,60.32688249996863,67.31178770004772,,67.50551349995658,67.50551349995658,67.50551349995658,,,,,,,,,,,,,,,,,,,,,,760819,001,2025-04-18_10h38.09.571,state_naming_task,2024.2.4,60.513749640865065,2025-04-18 10h38.24.394315 -0600,
states/Delaware-Outline-Map.jpg,Delaware,6,6,0,,,,0,6,6,5,,,,,,,,,67.50551349995658,,,,,,,,,67.44691559998319,67.83411359996535,67.83411359996535,67.83411359996535,74.81996360002086,,,,,,,,,,,,,,,,,,,,,,,,,,760819,001,2025-04-18_10h38.09.571,state_naming_task,2024.2.4,60.513749640865065,2025-04-18 10h38.24.394315 -0600,
states/Connecticut-Outline-Map.jpg,Connecticut,7,7,0,,,,0,7,7,4,,,,,,,,,75.00854010006879,,,,,,,,,74.94091630005278,75.32731920003425,75.32731920003425,75.32731920003425,82.31296360003762,,82.4492506000679,82.4492506000679,82.4492506000679,,,,,,,,,,,,,,,,,,,,,,760819,001,2025-04-18_10h38.09.571,state_naming_task,2024.2.4,60.513749640865065,2025-04-18 10h38.24.394315 -0600,
states/Massachusetts-Outline-Map.jpg,Massachusetts,8,8,0,,,,0,8,8,14,,,,,,,,,82.4492506000679,,,,,,,,,82.41843449999578,82.81901149998885,82.81901149998885,82.81901149998885,89.80476470000576,,89.96645569999237,89.96645569999237,89.96645569999237,,,,,,,,,,,,,,,,,,,,,,760819,001,2025-04-18_10h38.09.571,state_naming_task,2024.2.4,60.513749640865065,2025-04-18 10h38.24.394315 -0600,
